day,hour,value,metric,is_idle_business
Saturday,13:00:00,5.2,requested,False
Saturday,14:00:00,23.400000000000002,requested,False
Saturday,15:00:00,20.800000000000004,requested,False
Saturday,16:00:00,5.2,requested,False
Saturday,17:00:00,9.100000000000001,requested,False
Saturday,18:00:00,0.0,requested,False
Saturday,19:00:00,1.3,requested,False
Saturday,20:00:00,0.0,requested,False
Saturday,21:00:00,1.3,requested,False
Saturday,22:00:00,0.0,requested,False
Saturday,will call,0.0,requested,False
Total,00:00:00,5.0,requested,False
Total,01:00:00,0.0,requested,False
Total,02:00:00,0.0,requested,False
Total,03:00:00,0.0,requested,False
Total,04:00:00,7.0,requested,False
Total,05:00:00,161.20000000000002,requested,False
Total,06:00:00,245.70000000000002,requested,False
Total,07:00:00,243.40000000000006,requested,False
Total,08:00:00,429.3,requested,False
Total,09:00:00,875.1999999999999,requested,False
Total,10:00:00,827.1,requested,False
Total,11:00:00,964.9,requested,False
Total,12:00:00,1109.2,requested,False
Total,13:00:00,598.3,requested,False
Total,14:00:00,759.4999999999999,requested,False
Total,15:00:00,846.5999999999999,requested,False
Total,16:00:00,226.5,requested,False
Total,17:00:00,139.4,requested,False
Total,18:00:00,24.700000000000003,requested,False
Total,19:00:00,9.100000000000001,requested,False
Total,20:00:00,11.700000000000001,requested,False
Total,21:00:00,11.700000000000001,requested,False
Total,22:00:00,2.6,requested,False
Total,will call,3.0,requested,False
Monday,00:00:00,0.0,completed,False
Monday,01:00:00,0.0,completed,False
Monday,02:00:00,0.0,completed,False
Monday,03:00:00,0.0,completed,False
Monday,04:00:00,1.3,completed,False
Monday,05:00:00,20.8,completed,False
Monday,06:00:00,35.1,completed,False
Monday,07:00:00,33.800000000000004,completed,False
Monday,08:00:00,63.7,completed,False
Monday,09:00:00,132.6,completed,False
Monday,10:00:00,118.3,completed,False
Monday,11:00:00,145.6,completed,False
Monday,12:00:00,145.6,completed,False
Monday,13:00:00,72.8,completed,False
Monday,14:00:00,109.2,completed,False
Monday,15:00:00,100.10000000000001,completed,False
Monday,16:00:00,24.7,completed,False
Monday,17:00:00,15.600000000000001,completed,False
Monday,18:00:00,3.9000000000000004,completed,False
Monday,19:00:00,2.6,completed,False
Monday,20:00:00,1.3,completed,False
Monday,21:00:00,1.3,completed,False
Monday,22:00:00,0.0,completed,False
Monday,will call,0.0,completed,False
Tuesday,00:00:00,1.3,completed,False
Tuesday,01:00:00,0.0,completed,False
Tuesday,02:00:00,0.0,completed,False
Tuesday,03:00:00,0.0,completed,False
Tuesday,04:00:00,0.0,completed,False
Tuesday,05:00:00,22.1,completed,False
Tuesday,06:00:00,26.0,completed,False
Tuesday,07:00:00,35.1,completed,False
Tuesday,08:00:00,71.5,completed,False
Tuesday,09:00:00,135.20000000000002,completed,False
Tuesday,10:00:00,132.6,completed,False
Tuesday,11:00:00,128.70000000000002,completed,False
Tuesday,12:00:00,166.4,completed,False
Tuesday,13:00:00,109.2,completed,False
Tuesday,14:00:00,127.4,completed,False
Tuesday,15:00:00,141.70000000000002,completed,False
Tuesday,16:00:00,42.9,completed,False
Tuesday,17:00:00,22.1,completed,False
Tuesday,18:00:00,5.2,completed,False
Tuesday,19:00:00,0.0,completed,True
Tuesday,20:00:00,2.6,completed,False
Tuesday,21:00:00,1.3,completed,False
Tuesday,22:00:00,1.3,completed,False
Tuesday,will call,0.0,completed,False
Wednesday,00:00:00,0.0,completed,False
Wednesday,01:00:00,0.0,completed,False
Wednesday,02:00:00,0.0,completed,False
Wednesday,03:00:00,0.0,completed,False
Wednesday,04:00:00,0.0,completed,False
Wednesday,05:00:00,23.400000000000002,completed,False
Wednesday,06:00:00,42.9,completed,False
Wednesday,07:00:00,44.2,completed,False
Wednesday,08:00:00,76.7,completed,False
Wednesday,09:00:00,130.0,completed,False
Wednesday,10:00:00,132.6,completed,False
Wednesday,11:00:00,122.2,completed,False
Wednesday,12:00:00,179.4,completed,False
Wednesday,13:00:00,104.0,completed,False
Wednesday,14:00:00,118.3,completed,False
Wednesday,15:00:00,150.8,completed,False
Wednesday,16:00:00,35.1,completed,False
Wednesday,17:00:00,18.2,completed,False
Wednesday,18:00:00,1.3,completed,False
Wednesday,19:00:00,0.0,completed,True
Wednesday,20:00:00,1.3,completed,False
Wednesday,21:00:00,1.3,completed,False
Wednesday,22:00:00,0.0,completed,False
Wednesday,will call,3.9000000000000004,completed,False
Thursday,00:00:00,1.3,completed,False
Thursday,01:00:00,0.0,completed,False
Thursday,02:00:00,0.0,completed,False
Thursday,03:00:00,0.0,completed,False
Thursday,04:00:00,1.3,completed,False
Thursday,05:00:00,19.5,completed,False
Thursday,06:00:00,35.1,completed,False
Thursday,07:00:00,31.200000000000003,completed,False
Thursday,08:00:00,52.0,completed,False
Thursday,09:00:00,123.5,completed,False
Thursday,10:00:00,111.8,completed,False
Thursday,11:00:00,118.3,completed,False
Thursday,12:00:00,136.5,completed,False
Thursday,13:00:00,88.4,completed,False
Thursday,14:00:00,109.2,completed,False
Thursday,15:00:00,117.0,completed,False
Thursday,16:00:00,29.900000000000002,completed,False
