mode,trip_count,trip_share,kent_legs,kent_leg_share,revenue,revenue_share,avg_revenue_per_trip,avg_revenue_per_kentleg,avg_miles,nonbillable_ns_rate,billable_ns_rate,profit_margin,total_cost,note
Wheelchair,2303.0,0.5421374764595104,2537.7257142857143,0.47983836186521334,174985.05,0.4559744703358445,75.98135041250542,68.95349210316549,9.544229266174556,0.20781696854146806,0.07435653002859867,,,
Ambulatory,1828.0,0.4303201506591337,2582.7509523809526,0.4883518258572395,152083.43,0.3962976348042789,83.19662472647703,58.884279903100726,16.962713347921227,0.19225634178905207,0.020026702269692925,,,
Stretcher,117.0,0.02754237288135593,168.23285714285714,0.03180981227754723,56692.15,0.14772789485987659,484.54829059829063,336.9861926071856,15.037264957264956,0.1643835616438356,0.0273972602739726,,,
SecureCare,,,,,49006.82,0.12770153102990267,,,,,,0.16612544947825628,40865.54,From SecureCare Profit sheet; trip log not per-trip
