order_status,reason,payer_id,order_mode,day,count
Canceled,Confirmation Cancel,Optalis Healthcare of Grand Rapids,Wheelchair,Tuesday,8
Canceled,Confirmation Cancel,Corewell Health Rehab & Nursing Center-Leffingwell,Wheelchair,Thursday,8
Canceled,Confirmation Cancel,PP,Ambulatory,Monday,8
Canceled,No Show,MTM,Ambulatory,Monday,8
Canceled,Same Day Cancel,PP,Wheelchair,Thursday,8
Canceled,Confirmation Cancel,Ambrose Care Management,Wheelchair,Wednesday,8
Canceled,Unable to Accommodate,Ingham County Medical Care Facility,Wheelchair,Wednesday,8
Canceled,Confirmation Cancel,U of M Health - West,Wheelchair,Friday,8
No show,Billed no show,Battle Creek VA,Ambulatory,Thursday,8
Canceled,Confirmation Cancel,U of M Health - West,Wheelchair,Monday,8
Canceled,Confirmation Cancel,Holt Senior Care & Rehab Center,Wheelchair,Friday,8
No show,Billed no show,Battle Creek VA,Ambulatory,Tuesday,8
No show,No Show,SafeRide Health - Priority Medicaid,Ambulatory,Monday,8
No show,No Show,SafeRide Health - Priority Medicaid,Ambulatory,Thursday,8
Canceled,Same Day Cancel,MTM,Wheelchair,Wednesday,8
No show,Billed no show,Battle Creek VA,Ambulatory,Friday,8
Canceled,Confirmation Cancel,Battle Creek VA,Ambulatory,Thursday,7
Canceled,Same Day Cancel,SafeRide Health - Priority Medicaid,Wheelchair,Tuesday,7
Canceled,Confirmation Cancel,Battle Creek VA,Wheelchair,Friday,7
Canceled,Same Day Cancel,SafeRide Health - Priority Medicaid,Wheelchair,Monday,7
No show,No Show,SafeRide Health - Priority Medicaid,Wheelchair,Wednesday,7
Canceled,Confirmation Cancel,Ingham County Medical Care Facility,Wheelchair,Wednesday,7
Canceled,Confirmation Cancel,Battle Creek VA,Ambulatory,Monday,7
Canceled,Billed no show,Optalis at Kent-Crossing,Wheelchair,Tuesday,7
Canceled,Unable to Accommodate,SafeRide Health - Priority Medicaid,Ambulatory,Friday,7
Canceled,Confirmation Cancel,MTM,Ambulatory,Tuesday,7
No show,No Show,SafeRide Health - Priority Medicaid,Wheelchair,Tuesday,7
Canceled,No Show,Battle Creek VA,Ambulatory,Monday,7
Canceled,Confirmation Cancel,Villa at Borgess Place,Wheelchair,Wednesday,7
Canceled,Confirmation Cancel,SafeRide Health - Priority Medicaid,Wheelchair,Friday,7
No show,Billed no show,Battle Creek VA,Wheelchair,Wednesday,7
Canceled,Unable to Accommodate,MTM,Wheelchair,Monday,7
No show,Billed no show,Battle Creek VA,Wheelchair,Monday,7
Canceled,No Show,SafeRide Health - Priority Medicaid,Ambulatory,Friday,7
Canceled,Same Day Cancel,Battle Creek VA,Wheelchair,Tuesday,7
Canceled,Confirmation Cancel,Harold and Grace Upjohn Community Care Center,Wheelchair,Friday,6
Canceled,Same Day Cancel,Battle Creek VA,Ambulatory,Thursday,6
Canceled,Confirmation Cancel,Holt Senior Care & Rehab Center,Wheelchair,Monday,6
Canceled,Confirmation Cancel,Harold and Grace Upjohn Community Care Center,Wheelchair,Monday,6
Canceled,Same Day Cancel,Battle Creek VA,Wheelchair,Wednesday,6
Canceled,Confirmation Cancel,Corewell Heath Nursing and Rehab Cedar,Wheelchair,Friday,6
Canceled,Same Day Cancel,MTM,Ambulatory,Tuesday,6
Canceled,Confirmation Cancel,Corewell Health Rehab & Nursing Center - Kentridge,Wheelchair,Friday,6
Canceled,Confirmation Cancel,PP,Wheelchair,Saturday,6
Canceled,Same Day Cancel,Kent County MDHHS,Wheelchair,Wednesday,6
No show,Billed no show,Corewell Health Rehab & Nursing Center-Leffingwell,Wheelchair,Monday,6
Canceled,Billed no show,Corewell Health Rehab & Nursing Center-Leffingwell,Wheelchair,Wednesday,6
Canceled,Confirmation Cancel,Holt Senior Care & Rehab Center,Wheelchair,Tuesday,6
Canceled,Confirmation Cancel,Optalis Healthcare of Grand Rapids,Wheelchair,Thursday,6
Canceled,No Show,SafeRide Health - Priority Medicaid,Wheelchair,Tuesday,6
Canceled,Billed no show,Optalis at Kent-Crossing,Wheelchair,Monday,6
Canceled,Confirmation Cancel,Valley View Care Center,Wheelchair,Saturday,6
Canceled,Confirmation Cancel,U of M Health - West,Wheelchair,Wednesday,6
No show,No Show,MTM,Ambulatory,Tuesday,6
Canceled,Confirmation Cancel,Saginaw Nursing and Rehab,Ambulatory,Tuesday,6
Canceled,Confirmation Cancel,MTM,Ambulatory,Friday,6
Canceled,Confirmation Cancel,Saginaw Nursing and Rehab,Ambulatory,Thursday,6
Canceled,Confirmation Cancel,Holt Senior Care & Rehab Center,Wheelchair,Wednesday,6
Canceled,No Show,SafeRide Health - Priority Medicaid,Ambulatory,Wednesday,6
Canceled,Unable to Accommodate,SafeRide Health - Priority Medicaid,Ambulatory,Tuesday,6
Canceled,Confirmation Cancel,Optalis at Kent-Crossing,Wheelchair,Thursday,6
Canceled,No Show,MTM,Ambulatory,Thursday,6
Canceled,Confirmation Cancel,"Managed Rehabilitation Consultants, Inc.",Ambulatory,Tuesday,6
Canceled,Same Day Cancel,SafeRide Health - Priority Medicaid,Wheelchair,Thursday,6
Canceled,Confirmation Cancel,PP,Wheelchair,Friday,6
Canceled,Same Day Cancel,Rehabilitation Management and Consulting,Wheelchair,Tuesday,6
Canceled,No Show,Battle Creek VA,Wheelchair,Monday,5
Canceled,No Show,SafeRide Health - Priority Medicaid,Ambulatory,Thursday,5
