payer_id,kent_legs,revenue,trips,vol_share,rev_share,over_20pct_vol,over_20pct_rev,near_cap
Select Specialty Hospital,2.6704761904761902,229.0,1,0.0005049390930724841,0.000596726141501279,False,False,False
Freedom Village,4.0,220.5,4,0.0007563281707933072,0.0005745769179084368,False,False,False
The Oaks of Jamestown PP,2.0,210.89,2,0.0003781640853966536,0.0005495352662934704,False,False,False
Allendale Nursing and Rehabilitation Community,2.0,190.14,2,0.0003781640853966536,0.0004954651028168262,False,False,False
Calhoun County MDHHS,2.0,171.78,2,0.0003781640853966536,0.000447622779856287,False,False,False
Bronson Cancer Center,3.0,167.35,3,0.0005672461280949805,0.00043607912567789975,False,False,False
MFB - Auto Inpatient,2.0,136.0,2,0.0003781640853966536,0.0003543875774854758,False,False,False
The Willows at East Lansing Private Pay,2.0,110.0,2,0.0003781640853966536,0.0002866370112014878,False,False,False
Gentiva Hospice,1.0,97.08,1,0.0001890820426983268,0.0002529701913403676,False,False,False
OpenBed,1.0,95.0,1,0.0001890820426983268,0.0002475501460376485,False,False,False
RYW,57.0,0.0,57,0.01077767643380463,0.0,False,False,False
