week,vehicle_usage,billed_usage,volume_pool_ratio,otp,revenue_per_kentleg,higher_acuity_mix,nonbillable_ns_rate,largest_payer_vol,largest_payer_rev,largest_payer_vol_name,largest_payer_rev_name,total_revenue,total_cost,profit_margin,vehicle_usage_wow,billed_usage_wow,volume_pool_ratio_wow,otp_wow,revenue_per_kentleg_wow,higher_acuity_mix_wow,nonbillable_ns_rate_wow,largest_payer_vol_wow,largest_payer_rev_wow,profit_margin_wow
Week 1,0.4923295454545455,0.5469507575757576,1.24356830825708,0.8493333333333334,73.9499108899628,0.03290676416819013,0.26454545454545453,0.2703678580306471,0.16120971596656852,SafeRide Health - Priority Medicaid,SafeRide Health - Priority Medicaid,109173.59999999999,129801.06,-0.3630525828552694,,,,,,,,,,
Week 2,0.8221590909090909,0.8910227272727272,1.2728785891586671,0.9373333333333332,70.53160330804897,0.025477707006369428,0.18547418967587034,0.2716555955253522,0.1745858044657413,SafeRide Health - Priority Medicaid,SafeRide Health - Priority Medicaid,176938.64,154515.28,0.1735569208570437,0.3298295454545454,0.3440719696969696,0.02931028090158705,0.08799999999999986,-3.4183075819138224,-0.0074290571618206985,-0.07907126486958418,0.0012877374947050657,0.013376088499172767,0.5366095037123131
Week 3,0.9817028985507247,1.0523623188405795,1.296556253199456,0.9159999999999999,71.0171170634386,0.022066198595787363,0.16502605674580198,0.2871114808387031,0.18865506450214828,SafeRide Health - Priority Medicaid,SafeRide Health - Priority Medicaid,191137.44,154816.44,0.233802094676685,0.15954380764163378,0.16133959156785227,0.02367766404078897,-0.021333333333333315,0.4855137553896327,-0.0034115084105820655,-0.020448132930068363,0.015455885313350903,0.014069260036406989,0.06024517381964131
Week 4,0.81875,0.9305059523809524,1.2562423775595353,0.8946666666666667,75.17417251980953,0.030418250950570342,0.21502748930971288,0.24029230520445488,0.17538292574262554,MTM,MTM,165758.72,146674.64,0.16464557295944338,-0.1629528985507247,-0.12185636645962716,-0.04031387563992084,-0.021333333333333204,4.1570554563709265,0.00835205235478298,0.0500014325639109,-0.0468191756342482,-0.01327213875952274,-0.06915652171724163
Week 5,0.9937878787878788,1.0818295454545455,1.2079829593685105,0.842,73.29158342090524,0.029804727646454265,0.1936637710781809,0.21060718802897108,0.14897358238571792,SafeRide Health - Priority Medicaid,MTM,189549.5,149809.38,0.2541632059702686,0.1750378787878788,0.1513235930735931,-0.04825941819102475,-0.05266666666666675,-1.8825890989042904,-0.0006135233041160773,-0.021363718231531992,-0.029685117175483805,-0.026409343356907616,0.08951763301082521
