variant,threshold,accuracy,f1,roc_auc,sensitivity,specificity,ppv,npv,balanced_accuracy,false_ready_rate,missed_ready_rate
baseline,0.2,0.9975,0.9975369458128078,0.9999499921862791,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
baseline,0.21000000000000002,0.9975,0.9975369458128078,0.9999499921862791,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
baseline,0.22000000000000003,0.9975,0.9975369458128078,0.9999499921862791,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
baseline,0.23000000000000004,0.9975,0.9975369458128078,0.9999499921862791,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
baseline,0.24000000000000005,0.9975,0.9975369458128078,0.9999499921862791,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
baseline,0.25000000000000006,0.9975,0.9975369458128078,0.9999499921862791,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
baseline,0.26000000000000006,0.9975,0.9975369458128078,0.9999499921862791,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
baseline,0.2700000000000001,0.9975,0.9975369458128078,0.9999499921862791,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
baseline,0.2800000000000001,0.9975,0.9975369458128078,0.9999499921862791,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
baseline,0.2900000000000001,0.9975,0.9975369458128078,0.9999499921862791,1.0,0.9949367088607595,0.995085995085995,1.0,0.9974683544303797,0.005063291139240506,0.0
baseline,0.3000000000000001,0.995,0.9950617283950617,0.9999499921862791,0.9950617283950617,0.9949367088607595,0.9950617283950617,0.9949367088607595,0.9949992186279106,0.005063291139240506,0.0049382716049382715
