table,rows,cols
contract_volume_base,8087,20
driver_active_time_base,773,8
field_dictionary,274,11
join_key_inventory,7,6
minimum_viable_subset,8,3
missingness_audit,274,7
mode_breakdown_base,17927,21
mode_summary_base,215,11
payer_summary_base,1499,11
prospective_intake_base,8,68
quarantine_list,7,4
readiness_training_base,4000,10
securecare_profit_base,42,15
sheet_lineage_map,12,8
unit_dictionary,274,5
vehicle_day_base,772,11
weekly_margin_base,42,24
