,0
do_zone,0.00024731049833065413
pu_zone,0.00024731049833065413
reason,0.00012365524916532706
payer_id,0.0
week,0.0
pick_up_time_iso,0.0
date_of_service_iso,0.0
kent_legs,0.0
mileage_kent_legs,0.0
over_under,0.0
offset,0.0
pick_up_time,0.0
day,0.0
date_of_service,0.0
order_mode2,0.0
order_price,0.0
order_status,0.0
order_mode,0.0
order_mileage,0.0
week_normalized,0.0
