column,dtype
payer_id,str
pu_zone,str
do_zone,str
order_mileage,float64
order_mode,str
order_status,str
reason,str
order_price,float64
order_mode2,str
date_of_service,float64
pick_up_time,float64
day,str
week,str
offset,float64
over_under,float64
mileage_kent_legs,float64
kent_legs,float64
trip_count,int64
date_of_service_iso,str
pick_up_time_iso,str
week_normalized,str
