,0
do_zone,0.5689183912534166
pu_zone,0.5689183912534166
reason,0.5688626094717465
payer_id,0.5688068276900764
date_of_service,0.5688068276900764
pick_up_time_iso,0.5688068276900764
date_of_service_iso,0.5688068276900764
week,0.5688068276900764
day,0.5688068276900764
pick_up_time,0.5688068276900764
order_mode2,0.5688068276900764
order_price,0.5688068276900764
order_status,0.5688068276900764
order_mode,0.5688068276900764
order_mileage,0.5688068276900764
week_normalized,0.5688068276900764
offset,0.0
over_under,0.0
mileage_kent_legs,0.0
kent_legs,0.0
trip_count,0.0
