column,dtype
payer_id,str
week_normalized,str
day,str
order_status,str
order_count,int64
sum_order_price,float64
sum_order_mileage,float64
sum_kent_legs,float64
completed_count,int64
billed_no_show_count,int64
non_billable_no_show_count,int64
